date,game_id,cumulative_player_base,daily_active_users,gross_daily_revenue,daily_payout,daily_ggr,total_bets,active_players,total_wagered,total_won,gross_gaming_revenue,total_sessions,hold_percentage,avg_bet_size,bets_per_player,game_type,theoretical_rtp,volatility,visual_engagement,days_from_launch,year,month,day_of_month,day_of_week,week_of_year,is_weekend,is_month_start,is_month_mid,ggr_lag1,ggr_lag7,ggr_lag30,revenue_lag1,revenue_lag7,revenue_lag30,dau_lag1,dau_lag7,bets_lag7,player_base_lag7,ggr_ma7,ggr_ma30,revenue_ma7,revenue_ma30,dau_ma7,bets_ma7,ggr_std7,ggr_std30,revenue_std7,ggr_sum7,revenue_sum7,ggr_min7,ggr_max7,ggr_growth_7d,ggr_growth_30d,revenue_growth_7d,dau_growth_7d,player_growth_7d,ggr_per_player,revenue_per_player,bets_per_session,hold_vs_expected,ggr_vs_ma7_ratio,ggr_range7
2024-01-01,G001,19,5,394.03999999999996,228.98,165.03000000000014,109,5,394.03999999999996,228.98,-165.03000000000014,5,41.88153486955643,3.6150458715596328,21.8,slot,0.96,high,0.85,0,2024,1,1,2,1,0,1,0,null,null,null,null,null,null,null,null,null,null,165.03000000000014,165.03000000000014,394.03999999999996,394.03999999999996,5.0,109.0,null,null,null,165.03000000000014,394.03999999999996,165.03000000000014,165.03000000000014,0.0,0.0,0.0,0.0,0.0,33.00600000000003,78.80799999999999,21.8,10.470378100640602,1.0,0.0
2024-01-01,G002,19,6,15784.969999999996,5976.360000000002,9808.619999999999,89,6,15784.969999999996,5976.360000000002,-9808.619999999999,6,62.13898410956753,177.35921348314602,14.833333333333334,table,0.995,low,0.7,0,2024,1,1,2,1,0,1,0,null,null,null,null,null,null,null,null,null,null,9808.619999999999,9808.619999999999,15784.969999999996,15784.969999999996,6.0,89.0,null,null,null,9808.619999999999,15784.969999999996,9808.619999999999,9808.619999999999,0.0,0.0,0.0,0.0,0.0,1634.7699999999998,2630.8283333333325,14.833333333333334,124.27808673995447,1.0,0.0
2024-01-01,G003,19,3,1432.980000000005,1331.5700000000008,101.29000000000005,98,3,1432.980000000005,1331.5700000000008,-101.29000000000005,3,7.068486650197469,14.622244897959234,32.666666666666664,table,0.973,medium,0.65,0,2024,1,1,2,1,0,1,0,null,null,null,null,null,null,null,null,null,null,101.29000000000005,101.29000000000005,1432.980000000005,1432.980000000005,3.0,98.0,null,null,null,101.29000000000005,1432.980000000005,101.29000000000005,101.29000000000005,0.0,0.0,0.0,0.0,0.0,33.76333333333335,477.6600000000017,32.666666666666664,2.617957047661167,1.0,0.0
2024-01-01,G004,19,6,1374.569999999998,745.0900000000003,629.5400000000008,193,6,1374.569999999998,745.0900000000003,-629.5400000000008,6,45.79904988469134,7.122124352331595,32.166666666666664,slot,0.94,medium,0.6,0,2024,1,1,2,1,0,1,0,null,null,null,null,null,null,null,null,null,null,629.5400000000008,629.5400000000008,1374.569999999998,1374.569999999998,6.0,193.0,null,null,null,629.5400000000008,1374.569999999998,629.5400000000008,629.5400000000008,0.0,0.0,0.0,0.0,0.0,104.92333333333346,229.09499999999966,32.166666666666664,7.63317467746678,1.0,0.0
2024-01-02,G001,42,10,4013.129999999994,1446.9199999999998,2566.2899999999922,449,10,4013.129999999994,1446.9199999999998,-2566.2899999999922,11,63.94734284710428,8.937928730512237,44.9,slot,0.96,high,0.85,1,2024,1,2,3,1,0,1,0,165.03000000000014,null,null,394.03999999999996,null,null,5,null,null,null,1365.6599999999962,1365.6599999999962,2203.5849999999973,2203.5849999999973,7.5,279.0,1697.9472293920035,1697.9472293920035,2559.0830807244183,2731.3199999999924,4407.169999999995,165.03000000000014,2566.2899999999922,0.0,0.0,0.0,0.0,0.0,256.6289999999992,401.3129999999994,40.81818181818182,15.986827135773698,1.8791573305215057,2401.259999999992
2024-01-02,G002,42,3,2619.209999999999,1697.1300000000006,922.0800000000003,64,3,2619.209999999999,1697.1300000000006,-922.0800000000003,3,35.204508229580696,40.925156249999986,21.333333333333332,table,0.995,low,0.7,1,2024,1,2,3,1,0,1,0,9808.619999999999,null,null,15784.969999999996,null,null,6,null,null,null,5365.349999999999,5365.349999999999,9202.089999999997,9202.089999999997,4.5,76.5,6283.732695285501,6283.732695285501,9309.598175474597,10730.699999999999,18404.179999999993,922.0800000000003,9808.619999999999,0.0,0.0,0.0,0.0,0.0,307.36000000000007,873.0699999999997,21.333333333333332,70.40908360649607,0.17185831306438543,8886.539999999999
2024-01-02,G003,42,5,547.7199999999993,810.7299999999994,-263.0400000000003,357,5,547.7199999999993,810.7299999999994,263.0400000000003,5,-48.02453808515311,1.5342296918767488,71.4,table,0.973,medium,0.65,1,2024,1,2,3,1,0,1,0,101.29000000000005,null,null,1432.980000000005,null,null,3,null,null,null,-80.87500000000013,-80.87500000000013,990.3500000000022,990.3500000000022,4.0,227.5,257.62021358969514,257.62021358969514,625.9733491132071,-161.75000000000026,1980.7000000000044,-263.0400000000003,101.29000000000005,0.0,0.0,0.0,0.0,0.0,-52.60800000000006,109.54399999999987,71.4,-17.786859360792082,3.252426584234929,364.3300000000004
2024-01-02,G004,42,10,4851.369999999964,3146.270000000001,1705.1700000000005,607,10,4851.369999999964,3146.270000000001,-1705.1700000000005,10,35.14821586479722,7.992372322899447,60.7,slot,0.94,medium,0.6,1,2024,1,2,3,1,0,1,0,629.5400000000008,null,null,1374.569999999998,null,null,6,null,null,null,1167.3550000000007,1167.3550000000007,3112.969999999981,3112.969999999981,8.0,400.0,760.5852670476859,760.5852670476859,2458.468856829365,2334.7100000000014,6225.939999999962,629.5400000000008,1705.1700000000005,0.0,0.0,0.0,0.0,0.0,170.51700000000005,485.1369999999964,60.7,5.858035744688777,1.460712465359723,1075.6299999999997
2024-01-03,G001,53,4,3823.809999999996,1689.1500000000003,2134.6399999999976,67,4,3823.809999999996,1689.1500000000003,-2134.6399999999976,4,55.82494946140106,57.071791044776056,16.75,slot,0.96,high,0.85,2,2024,1,3,4,1,0,1,0,2566.2899999999922,null,null,4013.129999999994,null,null,10,null,null,null,1621.9866666666633,1621.9866666666633,2743.6599999999967,2743.6599999999967,6.333333333333333,208.33333333333334,1280.0869021411493,1280.0869021411493,2037.0312034674353,4865.95999999999,8230.97999999999,165.03000000000014,2566.2899999999922,0.0,0.0,0.0,0.0,0.0,533.6599999999994,955.952499999999,16.75,13.956229878645146,1.316065072462578,2401.259999999992
2024-01-03,G002,53,8,3641.930000000002,1516.42,2125.5100000000007,105,8,3641.930000000002,1516.42,-2125.5100000000007,8,58.36218708212403,34.68504761904764,13.125,table,0.995,low,0.7,2,2024,1,3,4,1,0,1,0,922.0800000000003,null,null,2619.209999999999,null,null,3,null,null,null,4285.403333333333,4285.403333333333,7348.703333333331,7348.703333333331,5.666666666666667,86.0,4820.944171159144,4820.944171159144,7323.894831504156,12856.21,22046.109999999993,922.0800000000003,9808.619999999999,0.0,0.0,0.0,0.0,0.0,265.6887500000001,455.24125000000026,13.125,116.72448548139197,0.4959883200414432,8886.539999999999
2024-01-03,G003,53,2,1795.9600000000105,2609.1200000000035,-813.4300000000005,283,2,1795.9600000000105,2609.1200000000035,813.4300000000005,2,-45.29221140782622,6.34614840989403,141.5,table,0.973,medium,0.65,2,2024,1,3,4,1,0,1,0,-263.0400000000003,null,null,547.7199999999993,null,null,5,null,null,null,-325.06000000000023,-325.06000000000023,1258.8866666666715,1258.8866666666715,3.3333333333333335,246.0,460.50301833972844,460.50301833972844,642.07253557004,-975.1800000000007,3776.660000000015,-813.4300000000005,101.29000000000005,0.0,0.0,0.0,0.0,0.0,-406.71500000000026,897.9800000000052,141.5,-16.774886892651292,2.5023995570048605,914.7200000000006
2024-01-03,G004,53,8,6460.110000000035,5069.45,1391.1499999999965,548,8,6460.110000000035,5069.45,-1391.1499999999965,11,21.534463035458977,11.788521897810282,68.5,slot,0.94,medium,0.6,2,2024,1,3,4,1,0,1,0,1705.1700000000005,null,null,4851.369999999964,null,null,10,null,null,null,1241.9533333333327,1241.9533333333327,4228.6833333333325,4228.6833333333325,8.0,449.3333333333333,553.1181684173216,553.1181684173216,2599.3236209701545,3725.859999999998,12686.049999999997,629.5400000000008,1705.1700000000005,0.0,0.0,0.0,0.0,0.0,173.89374999999956,807.5137500000044,49.81818181818182,3.5890770299593884,1.1201306543992504,1075.6299999999997
